location,name,freq,weighting,direction,n_stocks,n_stocks_min,date,ret
are,mkt,monthly,vw_cap,na,6,na,2001-06-30,-0.025240684
are,mkt,monthly,vw_cap,na,5,na,2001-07-31,0.021071431
are,mkt,monthly,vw_cap,na,4,na,2001-08-31,0.0283133917
are,mkt,monthly,vw_cap,na,4,na,2001-09-30,0.0241651372
are,mkt,monthly,vw_cap,na,5,na,2001-10-31,-0.060575365
are,mkt,monthly,vw_cap,na,5,na,2001-11-30,0.0203126641
are,mkt,monthly,vw_cap,na,5,na,2001-12-31,0.0521574338
are,mkt,monthly,vw_cap,na,6,na,2002-01-31,0.0149600024
are,mkt,monthly,vw_cap,na,4,na,2002-02-28,0.0029578429
are,mkt,monthly,vw_cap,na,4,na,2002-03-31,-0.059847458
are,mkt,monthly,vw_cap,na,5,na,2002-04-30,0.1071794264
are,mkt,monthly,vw_cap,na,10,na,2002-05-31,-0.018515932
are,mkt,monthly,vw_cap,na,11,na,2002-06-30,-0.011982943
are,mkt,monthly,vw_cap,na,11,na,2002-07-31,0.0382206129
are,mkt,monthly,vw_cap,na,11,na,2002-08-31,0.0811442021
are,mkt,monthly,vw_cap,na,11,na,2002-09-30,-0.040872676
are,mkt,monthly,vw_cap,na,13,na,2002-10-31,0.0021222829
are,mkt,monthly,vw_cap,na,13,na,2002-11-30,0.0204632669
are,mkt,monthly,vw_cap,na,13,na,2002-12-31,0.0116141071
are,mkt,monthly,vw_cap,na,14,na,2003-01-31,0.0177270271
are,mkt,monthly,vw_cap,na,14,na,2003-02-28,-0.001529565
are,mkt,monthly,vw_cap,na,14,na,2003-03-31,-0.008633936
are,mkt,monthly,vw_cap,na,13,na,2003-04-30,0.0203287613
are,mkt,monthly,vw_cap,na,14,na,2003-05-31,-0.009989077
are,mkt,monthly,vw_cap,na,15,na,2003-06-30,0.010526438
are,mkt,monthly,vw_cap,na,15,na,2003-07-31,0.1046014995
are,mkt,monthly,vw_cap,na,16,na,2003-08-31,0.0033832732
are,mkt,monthly,vw_cap,na,16,na,2003-09-30,0.1038305424
are,mkt,monthly,vw_cap,na,17,na,2003-10-31,0.0001979928
are,mkt,monthly,vw_cap,na,17,na,2003-11-30,0.0201970423
are,mkt,monthly,vw_cap,na,17,na,2003-12-31,0.0083329821
are,mkt,monthly,vw_cap,na,17,na,2004-01-31,0.0584693558
are,mkt,monthly,vw_cap,na,18,na,2004-02-29,0.0326702395
are,mkt,monthly,vw_cap,na,19,na,2004-03-31,-0.006581787
are,mkt,monthly,vw_cap,na,19,na,2004-04-30,0.0097363293
are,mkt,monthly,vw_cap,na,18,na,2004-05-31,0.0498681432
are,mkt,monthly,vw_cap,na,18,na,2004-06-30,0.1325907471
are,mkt,monthly,vw_cap,na,18,na,2004-07-31,0.0815370593
are,mkt,monthly,vw_cap,na,19,na,2004-08-31,0.0146441907
are,mkt,monthly,vw_cap,na,18,na,2004-09-30,0.0769252345
are,mkt,monthly,vw_cap,na,18,na,2004-10-31,-0.041238629
are,mkt,monthly,vw_cap,na,19,na,2004-11-30,0.1634968023
are,mkt,monthly,vw_cap,na,19,na,2004-12-31,0.1917578552
are,mkt,monthly,vw_cap,na,17,na,2005-01-31,0.0395514588
are,mkt,monthly,vw_cap,na,22,na,2005-02-28,0.1484566429
are,mkt,monthly,vw_cap,na,22,na,2005-03-31,0.094594854
are,mkt,monthly,vw_cap,na,23,na,2005-04-30,0.2057522427
are,mkt,monthly,vw_cap,na,23,na,2005-05-31,-0.034883477
are,mkt,monthly,vw_cap,na,23,na,2005-06-30,0.1486276375
are,mkt,monthly,vw_cap,na,22,na,2005-07-31,-0.139167482
are,mkt,monthly,vw_cap,na,23,na,2005-08-31,0.1590901562
are,mkt,monthly,vw_cap,na,23,na,2005-09-30,0.1131633842
