No.,Factor,Cluster,GRS,p(GRS),Avg|α|,Sh²(f),SR,n(α)ₜ>₂,n(α)ₜ>₃
1,cop_at,Profitability,3.45,0.000,2.89,0.11,1.17,82,48
2,cowc_gr1a,Growth,3.13,0.000,2.81,0.17,1.04,78,36
3,fcf_me,Value,2.91,0.000,1.54,0.20,0.84,36,9
4,ret_1_0,Momentum,2.69,0.000,1.64,0.26,0.67,36,7
5,resff3_12_1,Momentum,2.49,0.000,1.53,0.31,0.70,31,6
6,seas_6_10an,Earnings,2.25,0.000,1.24,0.38,0.70,15,3
7,ival_me,Value,2.14,0.000,2.33,0.42,0.65,76,41
8,age,Miscellaneous1,1.91,0.000,0.79,0.50,0.50,9,1
9,seas_6_10na,Earnings,1.85,0.000,0.94,0.52,0.51,11,1
10,seas_11_15na,Earnings,1.78,0.000,0.95,0.55,0.49,9,2
11,noa_at,Other,1.70,0.000,0.86,0.58,0.52,8,0
