Date;PX_LAST
30/11/1971;93,99
31/12/1971;102,09
31/01/1972;103,94
29/02/1972;106,57
31/03/1972;107,20
28/04/1972;107,67
31/05/1972;109,53
30/06/1972;107,14
31/07/1972;107,39
31/08/1972;111,09
29/09/1972;110,55
31/10/1972;111,58
30/11/1972;116,67
29/12/1972;118,05
31/01/1973;116,03
28/02/1973;111,68
30/03/1973;111,52
30/04/1973;106,97
31/05/1973;104,95
29/06/1973;104,26
31/07/1973;108,22
31/08/1973;104,25
28/09/1973;108,43
31/10/1973;108,29
30/11/1973;95,96
31/12/1973;97,55
31/01/1974;96,57
28/02/1974;96,22
29/03/1974;93,98
30/04/1974;90,31
31/05/1974;87,28
28/06/1974;86,00
31/07/1974;79,31
30/08/1974;72,15
30/09/1974;63,54
31/10/1974;73,90
29/11/1974;69,97
31/12/1974;68,56
31/01/1975;76,98
28/02/1975;81,59
31/03/1975;83,36
30/04/1975;87,30
30/05/1975;91,15
30/06/1975;95,19
31/07/1975;88,75
29/08/1975;86,88
30/09/1975;83,87
31/10/1975;89,04
28/11/1975;91,24
31/12/1975;90,19
30/01/1976;100,86
27/02/1976;99,71
31/03/1976;102,77
30/04/1976;101,64
31/05/1976;100,18
30/06/1976;104,28
30/07/1976;103,44
31/08/1976;102,91
30/09/1976;105,24
29/10/1976;102,90
30/11/1976;102,10
31/12/1976;107,46
31/01/1977;102,03
28/02/1977;99,82
31/03/1977;98,42
29/04/1977;98,44
31/05/1977;96,12
30/06/1977;100,48
29/07/1977;98,85
31/08/1977;96,77
30/09/1977;96,53
31/10/1977;92,34
30/11/1977;94,83
30/12/1977;95,10
31/01/1978;89,25
28/02/1978;87,04
31/03/1978;89,21
28/04/1978;96,83
31/05/1978;97,29
30/06/1978;95,53
31/07/1978;100,68
31/08/1978;103,29
29/09/1978;102,54
31/10/1978;93,15
30/11/1978;94,70
29/12/1978;96,11
31/01/1979;99,93
28/02/1979;96,28
30/03/1979;101,59
30/04/1979;101,76
31/05/1979;99,08
29/06/1979;102,91
31/07/1979;103,81
31/08/1979;109,32
28/09/1979;109,32
31/10/1979;101,82
30/11/1979;106,16
31/12/1979;107,94
31/01/1980;114,16
29/02/1980;113,66
31/03/1980;102,09
30/04/1980;106,29
30/05/1980;111,24
30/06/1980;114,24
31/07/1980;121,67
29/08/1980;122,38
30/09/1980;125,46
31/10/1980;127,47
28/11/1980;140,52
31/12/1980;135,76
30/01/1981;129,55
27/02/1981;131,27
31/03/1981;136,00
30/04/1981;132,81
29/05/1981;132,59
30/06/1981;131,21
31/07/1981;130,92
31/08/1981;122,79
30/09/1981;116,18
30/10/1981;121,89
30/11/1981;126,35
31/12/1981;122,55
29/01/1982;120,40
26/02/1982;113,11
31/03/1982;111,96
30/04/1982;116,44
31/05/1982;111,88
30/06/1982;109,61
30/07/1982;107,09
31/08/1982;119,51
30/09/1982;120,42
29/10/1982;133,71
30/11/1982;138,54
31/12/1982;140,64
31/01/1983;145,30
28/02/1983;148,06
31/03/1983;152,96
29/04/1983;164,42
31/05/1983;162,39
30/06/1983;168,11
29/07/1983;162,56
31/08/1983;164,40
30/09/1983;166,07
31/10/1983;163,55
30/11/1983;166,40
30/12/1983;164,93
31/01/1984;163,41
29/02/1984;157,06
30/03/1984;159,18
30/04/1984;160,05
31/05/1984;150,55
29/06/1984;153,18
31/07/1984;150,66
31/08/1984;166,68
28/09/1984;166,10
31/10/1984;166,09
30/11/1984;163,58
31/12/1984;167,24
31/01/1985;179,63
28/02/1985;181,18
29/03/1985;180,66
30/04/1985;179,83
31/05/1985;189,55
28/06/1985;191,85
31/07/1985;190,92
30/08/1985;188,63
30/09/1985;182,08
31/10/1985;189,82
29/11/1985;202,17
31/12/1985;211,28
31/01/1986;211,78
28/02/1986;226,92
31/03/1986;238,90
30/04/1986;235,52
30/05/1986;247,35
30/06/1986;250,84
31/07/1986;236,12
29/08/1986;252,93
30/09/1986;231,32
31/10/1986;243,98
