end_date,threshold,n_factors,Value,Short-Term Reversal,Debt Issuance,Profit Growth,Low Risk,Seasonality,Momentum,Investment,Low Leverage,Quality,Accruals,Profitability,Size
1986-10-31,2.0,17,2.0,2.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0,,,,
1986-10-31,3.0,6,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
1987-10-31,2.0,16,2.0,2.0,,1.0,4.0,1.0,2.0,2.0,1.0,1.0,,,
1987-10-31,3.0,5,2.0,1.0,,,,,,1.0,,1.0,,,
1988-10-31,2.0,20,4.0,2.0,1.0,1.0,3.0,,2.0,2.0,1.0,3.0,1.0,,
1988-10-31,3.0,5,2.0,1.0,,,,,,1.0,,1.0,,,
1989-10-31,2.0,7,2.0,1.0,,1.0,,1.0,,1.0,,1.0,,,
1989-10-31,3.0,4,2.0,1.0,,1.0,,,,,,,,,
1990-10-31,2.0,7,1.0,1.0,,1.0,,1.0,1.0,,,,1.0,1.0,
1990-10-31,3.0,4,,1.0,,,,1.0,1.0,,,,,1.0,
1991-10-31,2.0,16,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,,2.0,2.0,
1991-10-31,3.0,4,,1.0,,,,1.0,1.0,,,,,1.0,
1992-10-31,2.0,13,1.0,1.0,,3.0,1.0,3.0,1.0,,,,1.0,2.0,
1992-10-31,3.0,4,,1.0,,,,1.0,1.0,,,,,1.0,
1993-10-31,2.0,15,1.0,1.0,1.0,3.0,1.0,2.0,,,,,3.0,2.0,1.0
1993-10-31,3.0,8,,1.0,1.0,2.0,,1.0,,,,,1.0,2.0,
1994-10-31,2.0,16,1.0,2.0,2.0,2.0,2.0,1.0,,,,,3.0,2.0,1.0
1994-10-31,3.0,7,,1.0,1.0,2.0,,1.0,,,,,1.0,1.0,
1995-10-31,2.0,10,2.0,3.0,1.0,3.0,,1.0,,,,,,,
1995-10-31,3.0,3,,,1.0,1.0,,1.0,,,,,,,
1996-10-31,2.0,14,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,,,2.0,1.0,
1996-10-31,3.0,5,,1.0,1.0,1.0,,1.0,,,,,,1.0,
1997-10-31,2.0,15,1.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,,2.0,,,
1997-10-31,3.0,3,,,1.0,1.0,,1.0,,,,,,,
1998-10-31,2.0,11,2.0,3.0,1.0,4.0,,1.0,,,,,,,
1998-10-31,3.0,7,1.0,2.0,1.0,2.0,,1.0,,,,,,,
1999-10-31,2.0,11,2.0,2.0,1.0,3.0,,2.0,1.0,,,,,,
1999-10-31,3.0,5,1.0,,1.0,2.0,,1.0,,,,,,,
2000-10-31,2.0,16,1.0,,1.0,2.0,1.0,4.0,1.0,3.0,,1.0,2.0,,
2000-10-31,3.0,4,,,1.0,1.0,,1.0,,,,,1.0,,
2001-10-31,2.0,16,1.0,2.0,2.0,2.0,,2.0,2.0,,1.0,1.0,2.0,1.0,
2001-10-31,3.0,4,,,1.0,1.0,,1.0,,,,,1.0,,
2002-10-31,2.0,12,1.0,,1.0,,1.0,1.0,2.0,2.0,2.0,1.0,1.0,,
2002-10-31,3.0,8,1.0,,1.0,,,1.0,2.0,,1.0,1.0,1.0,,
2003-10-31,2.0,17,3.0,1.0,2.0,,,1.0,1.0,2.0,2.0,3.0,1.0,1.0,
2003-10-31,3.0,5,1.0,,1.0,,,1.0,1.0,,1.0,,,,
2004-10-31,2.0,9,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,
2004-10-31,3.0,5,1.0,,1.0,,,1.0,1.0,,1.0,,,,
2005-10-31,2.0,9,1.0,,1.0,2.0,,1.0,1.0,,1.0,,1.0,1.0,
2005-10-31,3.0,7,1.0,,1.0,,,1.0,1.0,,1.0,,1.0,1.0,
2006-10-31,2.0,13,2.0,,1.0,1.0,1.0,2.0,1.0,,1.0,,1.0,3.0,
2006-10-31,3.0,8,2.0,,1.0,,,1.0,1.0,,1.0,,1.0,1.0,
2007-10-31,2.0,10,1.0,,1.0,1.0,,1.0,1.0,2.0,,2.0,1.0,,
2007-10-31,3.0,4,,,1.0,,,1.0,1.0,,,,1.0,,
2008-10-31,2.0,9,1.0,,,,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,
2008-10-31,3.0,4,1.0,,,,,,1.0,,1.0,1.0,,,
2009-10-31,2.0,10,2.0,,,,1.0,1.0,1.0,,2.0,2.0,1.0,,
2009-10-31,3.0,4,1.0,,,,,,1.0,,1.0,1.0,,,
2010-10-31,2.0,8,1.0,,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,
2010-10-31,3.0,4,1.0,,,,,,1.0,,1.0,1.0,,,
2011-10-31,2.0,8,1.0,,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,
2011-10-31,3.0,4,1.0,,,,,,1.0,,1.0,1.0,,,
2012-10-31,2.0,19,1.0,2.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,
2012-10-31,3.0,4,1.0,,,,,,1.0,,1.0,1.0,,,
2013-10-31,2.0,7,,,1.0,,1.0,2.0,2.0,,,1.0,,,
2013-10-31,3.0,5,,,1.0,,1.0,1.0,1.0,,,1.0,,,
2014-10-31,2.0,6,,1.0,1.0,,1.0,1.0,1.0,,,1.0,,,
2014-10-31,3.0,3,,,,,1.0,1.0,,,,1.0,,,
2015-10-31,2.0,19,2.0,1.0,1.0,2.0,1.0,3.0,,2.0,2.0,1.0,2.0,1.0,1.0
2015-10-31,3.0,1,,,,,,,,,,,,1.0,
2016-10-31,2.0,9,1.0,1.0,1.0,,1.0,3.0,,,1.0,1.0,,,
2016-10-31,3.0,3,1.0,,,,1.0,,,,,1.0,,,
2017-10-31,2.0,9,1.0,1.0,2.0,,1.0,2.0,,,1.0,1.0,,,
2017-10-31,3.0,4,1.0,,,,1.0,,,,1.0,1.0,,,
2018-10-31,2.0,9,,1.0,,1.0,1.0,1.0,,,1.0,2.0,1.0,1.0,
2018-10-31,3.0,3,,,,,1.0,,,,1.0,1.0,,,
2019-10-31,2.0,9,,1.0,,,1.0,1.0,,,,1.0,1.0,3.0,1.0
2019-10-31,3.0,4,,,,,,1.0,,,,1.0,1.0,1.0,
2020-10-31,2.0,8,,,,,2.0,1.0,,2.0,,1.0,1.0,,1.0
2020-10-31,3.0,1,,,,,,,,,,1.0,,,
2021-10-31,2.0,7,,,,,1.0,1.0,,2.0,,1.0,1.0,,1.0
2021-10-31,3.0,2,,,,,,,,,,1.0,1.0,,
